university,query,adiga_code,adiga_label,candidate_count,detail_url,local_path,status
영남대,영남대학교,0000151,영남대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000151,입시결과_공식/대입정보포털/2025/0000151.html,downloaded
용인대,용인대학교,0000156,용인대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000156,입시결과_공식/대입정보포털/2025/0000156.html,downloaded
울산대,울산대학교,0000158,울산대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000158,입시결과_공식/대입정보포털/2025/0000158.html,downloaded
원광대,원광대학교,0000159,원광대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000159,입시결과_공식/대입정보포털/2025/0000159.html,downloaded
을지대,을지대학교,0000161,을지대학교[본교],3,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000161,입시결과_공식/대입정보포털/2025/0000161.html,downloaded
인제대,인제대학교,0000164,인제대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000164,입시결과_공식/대입정보포털/2025/0000164.html,downloaded
인천대,인천대학교,0002660,인천대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0002660,입시결과_공식/대입정보포털/2025/0002660.html,downloaded
인하대,인하대학교,0000169,인하대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000169,입시결과_공식/대입정보포털/2025/0000169.html,downloaded
전남대,전남대학교,0000023,전남대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000023,입시결과_공식/대입정보포털/2025/0000023.html,downloaded
전남대(여수),전남대학교,0000023,전남대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000023,입시결과_공식/대입정보포털/2025/0000023.html,downloaded
전북대,전북대학교,0000025,전북대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000025,입시결과_공식/대입정보포털/2025/0000025.html,downloaded
제주대,제주대학교,0000027,제주대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000027,입시결과_공식/대입정보포털/2025/0000027.html,downloaded
조선대,조선대학교,0000172,조선대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000172,입시결과_공식/대입정보포털/2025/0000172.html,downloaded
중부대(고양),중부대학교,0000173,중부대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000173,입시결과_공식/대입정보포털/2025/0000173.html,downloaded
중앙대,중앙대학교,0000175,중앙대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000175,입시결과_공식/대입정보포털/2025/0000175.html,downloaded
충남대,충남대학교,0000029,충남대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000029,입시결과_공식/대입정보포털/2025/0000029.html,downloaded
충북대,충북대학교,0000030,충북대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000030,입시결과_공식/대입정보포털/2025/0000030.html,downloaded
칼빈대,칼빈대학교,0000184,칼빈대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000184,입시결과_공식/대입정보포털/2025/0000184.html,downloaded
평택대,평택대학교,0000186,평택대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000186,입시결과_공식/대입정보포털/2025/0000186.html,downloaded
한경국립대,한경국립대학교,0000037,한경국립대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000037,입시결과_공식/대입정보포털/2025/0000037.html,downloaded
한국공학대,한국공학대학교,0000247,한국공학대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000247,입시결과_공식/대입정보포털/2025/0000247.html,downloaded
한국기술교육대,한국기술교육대학교,0000189,한국기술교육대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000189,입시결과_공식/대입정보포털/2025/0000189.html,downloaded
한국항공대,한국항공대학교,0000194,한국항공대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000194,입시결과_공식/대입정보포털/2025/0000194.html,downloaded
한라대,한라대학교,0000197,한라대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000197,입시결과_공식/대입정보포털/2025/0000197.html,downloaded
한성대,한성대학교,0000200,한성대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000200,입시결과_공식/대입정보포털/2025/0000200.html,downloaded
한세대,한세대학교,0000201,한세대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000201,입시결과_공식/대입정보포털/2025/0000201.html,downloaded
한신대,한신대학교,0000202,한신대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000202,입시결과_공식/대입정보포털/2025/0000202.html,downloaded
한양대,한양대학교,0000203,한양대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000203,입시결과_공식/대입정보포털/2025/0000203.html,downloaded
한양대(ERICA),한양대학교,0000204,한양대학교(ERICA)[분교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000204,입시결과_공식/대입정보포털/2025/0000204.html,downloaded
협성대,협성대학교,0000207,협성대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000207,입시결과_공식/대입정보포털/2025/0000207.html,downloaded
홍익대,홍익대학교,0000212,홍익대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000212,입시결과_공식/대입정보포털/2025/0000212.html,downloaded
화성의과학대,화성의과학대학교,0000233,화성의과학대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000233,입시결과_공식/대입정보포털/2025/0000233.html,downloaded
